GEO_ID,NAME,DP05_0001E,DP05_0046E,Percent Chinese
0500000US01001,"Autauga County, Alabama",28446,87,0.305842649
0500000US01003,"Baldwin County, Alabama",109334,619,0.566155084
0500000US01005,"Barbour County, Alabama",11940,0,0
0500000US01007,"Bibb County, Alabama",10343,0,0
0500000US01009,"Blount County, Alabama",29186,57,0.195299116
0500000US01011,"Bullock County, Alabama",4677,41,0.876630319
0500000US01013,"Butler County, Alabama",10747,0,0
0500000US01015,"Calhoun County, Alabama",59477,115,0.193352052
0500000US01017,"Chambers County, Alabama",17571,37,0.210574242
0500000US01019,"Cherokee County, Alabama",13126,29,0.220935548
0500000US01021,"Chilton County, Alabama",22596,0,0
0500000US01023,"Choctaw County, Alabama",6780,0,0
0500000US01025,"Clarke County, Alabama",12725,11,0.086444008
0500000US01027,"Clay County, Alabama",6899,14,0.202927961
0500000US01029,"Cleburne County, Alabama",7607,0,0
0500000US01031,"Coffee County, Alabama",26183,374,1.428407745
0500000US01033,"Colbert County, Alabama",28487,8,0.028082985
0500000US01035,"Conecuh County, Alabama",6316,0,0
0500000US01037,"Coosa County, Alabama",5295,0,0
0500000US01039,"Covington County, Alabama",19214,33,0.171749766
0500000US01041,"Crenshaw County, Alabama",7096,0,0
0500000US01043,"Cullman County, Alabama",42094,31,0.0736447
0500000US01045,"Dale County, Alabama",24976,0,0
0500000US01047,"Dallas County, Alabama",21110,13,0.061582189
0500000US01049,"DeKalb County, Alabama",35992,8,0.022227162
0500000US01051,"Elmore County, Alabama",41918,57,0.13597977
0500000US01053,"Escambia County, Alabama",18201,87,0.477995715
0500000US01055,"Etowah County, Alabama",53184,114,0.214350181
0500000US01057,"Fayette County, Alabama",8356,17,0.203446625
0500000US01059,"Franklin County, Alabama",15790,1,0.006333122
0500000US01061,"Geneva County, Alabama",13582,0,0
0500000US01063,"Greene County, Alabama",4478,0,0
0500000US01065,"Hale County, Alabama",7774,0,0
0500000US01067,"Henry County, Alabama",8814,0,0
0500000US01069,"Houston County, Alabama",54512,179,0.328368066
0500000US01071,"Jackson County, Alabama",26471,32,0.120887008
0500000US01073,"Jefferson County, Alabama",347647,2550,0.733502662
0500000US01075,"Lamar County, Alabama",7102,0,0
0500000US01077,"Lauderdale County, Alabama",47988,195,0.406351588
0500000US01079,"Lawrence County, Alabama",17103,6,0.035081565
0500000US01081,"Lee County, Alabama",81699,1637,2.003696496
0500000US01083,"Limestone County, Alabama",47436,185,0.389999157
0500000US01085,"Lowndes County, Alabama",5258,0,0
0500000US01087,"Macon County, Alabama",10115,0,0
0500000US01089,"Madison County, Alabama",185341,1902,1.026216541
0500000US01091,"Marengo County, Alabama",10022,0,0
0500000US01093,"Marion County, Alabama",15085,0,0
0500000US01095,"Marshall County, Alabama",48413,86,0.177638238
0500000US01097,"Mobile County, Alabama",216747,814,0.375553064
0500000US01099,"Monroe County, Alabama",11110,0,0
0500000US01101,"Montgomery County, Alabama",119892,432,0.360324292
0500000US01103,"Morgan County, Alabama",60501,192,0.317350126
0500000US01105,"Perry County, Alabama",5030,0,0
0500000US01107,"Pickens County, Alabama",10606,0,0
0500000US01109,"Pike County, Alabama",17353,413,2.379991932
0500000US01111,"Randolph County, Alabama",11590,0,0
0500000US01113,"Russell County, Alabama",30091,28,0.093051078
0500000US01115,"St. Clair County, Alabama",43976,182,0.413862107
0500000US01117,"Shelby County, Alabama",110086,1033,0.938357284
0500000US01119,"Sumter County, Alabama",6870,237,3.449781659
